"City","Population","distance_km","risk_category","population_at_risk","risk_index"
"Los Angeles",3898747,16.1105251247695,"High",3898747,100
"San Diego",1386932,21.3950248848925,"Moderate",1386932,26.6803411455014
"San Jose",1013240,12.712846676674,"High",1013240,25.9888625755916
"San Francisco",873965,23.7117406145127,"Moderate",873965,16.812420759798
"Sacramento",524943,18.6695489082616,"High",524943,13.4644027940259
"Oakland",440646,19.6821660931581,"High",440646,11.3022465935851
"Fresno",542107,27.7425212860375,"Moderate",542107,10.4284851004695
"Bakersfield",403455,12.0082495458798,"High",403455,10.3483247309969
"Irvine",307670,3.54051242071848,"Extreme",307670,9.86438719927197
"Long Beach",466742,26.7379282588564,"Moderate",466742,8.97869238501498
"Anaheim",346824,10.7550201302093,"High",346824,8.89578113173284
"Riverside",314998,13.5093348402623,"High",314998,8.07946758279006
"Santa Ana",310227,11.9638095742989,"High",310227,7.95709493332089
"Santa Clarita",228673,4.23530206918242,"Extreme",228673,7.33161833789164
"San Bernardino",222101,9.78715602882568,"Extreme",222101,7.12090961532
"Chula Vista",275487,15.9585487461254,"High",275487,7.0660394224093
"Fontana",208393,9.27258056514675,"Extreme",208393,6.68140943744234
"Oxnard",202063,3.84783859086515,"Extreme",202063,6.4784596179234
"Fremont",230504,11.1367185426582,"High",230504,5.91225847689014
"Santa Rosa",178127,4.36688980849529,"Extreme",178127,5.7110335705292
